Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR6665476,2018-02-20 12:21:16,2018-02-02 08:18:48,188912,75942624,188912,402,40,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665476.sralite.1,SRX3642548,LMAN.26.14A0114,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,72B3209606D2D63FDBE959ABB7B95DE9,E8AC1FA1B06C9839D624F7ED8135D689
SRR6665477,2018-02-20 12:21:16,2018-02-02 08:18:45,68097,27374994,68097,402,14,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665477.sralite.1,SRX3642547,LMAN.26.14A0113,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,631FDE0A991D5C64133186603FB513F4,A9E6D06AF67BDF37A8969B3F93F7A1F5
SRR6665478,2018-02-20 12:21:16,2018-02-02 08:19:04,505073,203039346,505073,402,109,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665478.sralite.1,SRX3642546,LMAN.26.14A0093,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,E6A5EE1A28ADDFF7A03C8D6011D00054,DE4AA8E52B6E3097C685F1E6E8784CE2
SRR6665479,2018-02-20 12:21:16,2018-02-02 08:19:19,848188,340971576,848188,402,185,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665479.sralite.1,SRX3642545,LMAN.26.14A0169,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,9DFCCDC6FC7D5ADB4B7D887BF78343E8,A9738EB7E75C0D211BB931501B5C6B57
SRR6665480,2018-02-20 12:21:16,2018-02-02 08:19:25,656726,264003852,656726,402,142,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665480.sralite.1,SRX3642544,LMAN.26.14A0167,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,D09EF6B115B9B613114A0510CEDE6C0B,DCEAD7E2C14BEB17D98DB055BB2B013E
SRR6665481,2018-02-20 12:21:16,2018-02-02 08:19:21,659755,265221510,659755,402,142,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665481.sralite.1,SRX3642543,LMAN.26.14A0157,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,22575A99B58EFAC5A498C7D71C79B58C,77DB5AAA9F2D2BF450045770229056EA
SRR6665482,2018-02-20 12:21:16,2018-02-02 08:18:50,128115,51502230,128115,402,27,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665482.sralite.1,SRX3642542,LMAN.26.14A0155,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,449DB3B78FCA6E57EEAD7EF34D2B1658,069BE72FFEECFB4E0800EE8C29F4DFA9
SRR6665483,2018-02-20 12:21:16,2018-02-02 08:18:55,133328,53597856,133328,402,29,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665483.sralite.1,SRX3642541,LMAN.26.14A0185,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,AC7597F28BAD5A931B914181F9907E15,311E890F7B88EFFB63BA7A25FFD464F0
SRR6665484,2018-02-20 12:21:16,2018-02-02 08:19:03,259801,104440002,259801,402,56,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665484.sralite.1,SRX3642540,LMAN.26.14A0171,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,9C84379465D17DC3EF98ABA8E91B077F,7CD1D20B9608B818706203ABEF4181E8
SRR6665485,2018-02-20 12:21:16,2018-02-02 08:18:56,355675,142981350,355675,402,77,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/665/SRR6665485.sralite.1,SRX3642539,LMAN.8.14A0009,AMPLICON,RT-PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP132042,PRJNA432663,,432663,SRS2907949,SAMN08456698,simple,1297885,plant metagenome,2014 Maize Phyllosphere,,,,,,,no,,,,,UNIVERSITY OF GEORGIA,SRA655054,,public,ABCA81A7BD4458E62C65EF762055DB6C,7611DCB17A6DEC9703654EBE2063F78B
